Code,Borough,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
,Barking and Dagenham,120.5,123.6,124,122.6,133.2,129.5,132.7,127.9,115.6,115.9,111.7,104.9,100.7,90.5,82.9,81.8,50.8
E09000002,Barnet,98,95.7,101,107.1,112.8,117,106.5,90.4,79.6,77.8,76,73.1,73.5,69.7,61.6,61.8,38.3
E09000003,Bexley,95.1,96.3,96.9,90.1,92.5,85.4,90,76.1,74.8,71.3,67.7,59.6,52.3,52.7,50,51.2,29.6
E09000004,Brent,127.7,122.7,123.4,124.3,133.6,132.6,129.7,110.2,99.3,93.5,97.4,96.8,101.2,86.6,77.1,78.2,46.3
E09000005,Bromley,89.8,88.5,96.7,102.1,104,103.5,102.8,94.4,83.3,86.4,77.5,71.4,70.5,64.5,61.2,63.6,38.7
E09000006,Camden,241,238.5,262.2,264.2,249.8,219.1,200.1,201.1,167.4,162.5,158.6,159.3,162.7,146,124.7,121,76.2
E09000007,City of London,195.5,186.8,195.5,196.2,188.6,177.5,166.1,155.3,144.7,136.8,131.8,129.8,127,120.3,107.1,108,110
E09000008,Croydon,113.7,105.4,111.8,115.1,110.3,103.8,102.8,92.6,88.9,93.9,94.1,90.2,89.8,84.3,75.7,76.6,45.4
E09000009,Ealing,128.2,126.7,127.3,129.8,123.1,117.4,119.2,116.5,106.6,101.1,102,104.9,96,88.1,75.6,75.8,46.9
E09000010,Enfield,104.8,101.9,106,107,106.4,99.7,96.5,94.1,86.7,82.5,81,76.9,73,71,70.6,68.7,40.7
E09000011,Greenwich,141.4,131.3,133.3,140.9,139.8,137.3,136,127.5,129.4,119.6,105.1,96.8,87.7,81.2,74.4,78.2,46.7
E09000012,Hackney,195.9,188,191.9,186.1,183.8,170.9,159.9,141.5,143.6,128.6,121.4,115.9,112.9,110.3,101.1,97.7,61.5
E09000013,Hammersmith and Fulham,178,171.8,174.1,174.4,167,157.7,149.2,145,131.6,129.5,127,133.5,128.4,121.1,106.2,113.5,66.8
E09000014,Haringey,155.9,149.2,170.2,173.8,163.6,157,154.3,131.2,124.5,112,103.1,97.3,101.4,90.3,83.8,89,55.8
E09000015,Harrow,80.7,81.4,86.7,92.2,86.2,83.7,79.1,70.8,62.2,65.5,65.9,63.1,58.9,55.5,50.3,50.1,30
E09000016,Havering,83.2,87.8,97.3,95.7,98.4,94.9,95.9,87.6,74.9,77.7,73.3,74.4,72.7,68.7,62.5,62,38.7
E09000017,Hillingdon,107.2,108.7,118.4,118.2,118.3,111.8,112.9,110.6,102.7,97.4,91,87.3,86.9,73.2,67.2,75.2,6.4
E09000018,Hounslow,144.8,135.2,138.6,151.4,140.5,127.2,121.7,107.3,101.2,99.8,95.1,95.7,97.2,86.9,75,78.4,47.6
E09000019,Islington,218.7,202.2,209.7,218.9,225.6,209.9,201.9,190.2,160.2,153,144.5,140.3,131,132,114.1,118.6,57.5
E09000020,Kensington and Chelsea,208.4,198.6,182.5,194.8,180.8,161.8,146.9,147.2,144.2,135.2,129,132,131.2,133.6,115.5,120.6,104.9
E09000021,Kingston upon Thames,100.3,96.8,92.7,95.8,109,103.9,99.3,85.3,79.5,72.4,70,70.3,70,62.2,55.7,57.5,68.8
E09000022,Lambeth,195.7,188.7,208.8,198.5,183.5,166.9,151.2,138.6,125.8,121.7,120.6,119.8,121.5,112.5,104.8,103.7,18.2
E09000023,Lewisham,118.4,110.3,114.1,113.4,125.3,138,131,124.6,118.9,118.4,109.3,105.9,98.1,87.8,78,75.7,70.3
E09000024,Merton,90.8,88,92.9,93.8,99,91.5,90.8,83.5,77.3,77.3,74.9,73.9,70.6,66.1,57.1,59.7,70.3
E09000025,Newham,159.4,158,162.8,161.2,158.5,143.3,153.7,138,133.1,121.2,119.6,114.9,103.1,101,91,89.3,22.8
E09000026,Redbridge,103.2,105.2,115.8,117.6,114.9,105.2,98.1,96.4,86.7,92,88.9,89.1,86.2,78.8,69.5,68.7,59.7
E09000027,Richmond upon Thames,89.7,84.9,92.1,95.8,87.2,85.4,82,73.5,66.2,65,62.5,63,64.1,62.4,55,55.7,57.4
E09000028,Southwark,176.5,160,178,179.3,181.3,170.1,158.3,148.4,146.8,141.8,131.8,127.7,119.4,111.6,104.5,99.6,21.2
E09000029,Sutton,80.8,77.2,84.6,82.7,89.1,93.6,88.3,84.3,72.4,74.4,69.3,65.5,61.4,57.8,53.1,55.4,92.2
E09000030,Tower Hamlets,176.1,177.9,185.4,198.6,187.8,172,158.2,149.4,137.1,119.5,112.2,115.3,115,110.6,99.5,96.2,22.2
E09000031,Waltham Forest,122.3,116.5,136.3,144.2,137.9,131.1,132.9,125.4,109.3,108.4,109.9,108.4,95.8,93.2,83.1,77.5,62.9
E09000032,Wandsworth,134.5,129.8,131.4,131.7,121.3,113.6,106.4,104.5,93.7,85.2,85.1,81.7,79.3,82.5,71.6,72.4,40.2
E09000033,Westminster,463,424.4,424.3,414,375.8,369.8,320.8,297.4,289.8,289.6,295.1,294.7,302,277,238.3,206.8,58.6
