Code,Area,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"122,500","136,450","170,000","180,000","203,000","240,000","253,500","285,000","300,000","310,000","341,000","405,001","366,250","416,500","440,000","465,000","485,000","615,000","765,000"
E09000002,Barking and Dagenham,"49,600","53,500","59,995","65,000","78,000","89,000","115,000","140,000","160,000","163,000","168,000","185,000","190,000","160,000","171,000","170,000","174,995","180,000","215,000"
E09000003,Barnet,"87,309","100,000","114,000","135,000","159,950","174,011","209,000","235,000","249,950","250,000","275,000","295,000","280,000","290,000","326,000","323,500","330,000","345,000","400,000"
E09000004,Bexley,"65,000","71,000","79,000","86,000","99,000","116,000","139,000","163,000","175,000","183,500","195,000","212,000","210,000","196,000","215,000","215,000","210,000","225,000","250,000"
E09000005,Brent,"72,770","83,500","96,000","111,750","138,000","157,500","187,000","214,700","225,000","241,250","249,999","283,000","277,500","275,000","283,000","300,000","320,000","346,000","385,000"
E09000006,Bromley,"80,000","86,500","99,500","115,500","135,000","152,000","177,500","205,000","225,000","230,000","242,500","260,000","250,000","249,000","275,000","275,000","278,000","295,000","335,000"
E09000007,Camden,"128,000","145,000","160,000","190,000","237,500","249,999","277,000","275,000","305,000","325,000","360,000","410,000","440,000","420,000","475,000","480,000","500,000","585,000","675,000"
E09000008,Croydon,"64,000","70,500","78,500","88,500","109,000","126,000","151,000","172,000","186,000","195,000","206,000","223,000","228,000","200,500","220,000","220,000","230,000","239,000","265,000"
E09000009,Ealing,"80,000","90,000","103,000","125,000","145,000","162,950","190,000","212,000","232,000","237,500","249,000","272,000","270,000","258,600","279,950","292,950","310,000","326,000","388,000"
E09000010,Enfield,"70,000","78,000","85,000","94,000","114,000","129,500","153,000","180,000","193,000","200,000","210,000","234,000","234,000","225,000","240,000","240,000","247,000","250,000","285,000"
E09000011,Greenwich,"63,995","66,000","75,000","90,000","106,950","122,000","149,995","169,500","180,000","199,995","209,000","224,000","232,000","220,000","245,000","249,995","245,000","275,000","317,000"
E09000012,Hackney,"66,000","76,995","87,500","112,975","135,000","160,000","180,000","194,000","213,000","220,000","247,500","265,000","265,000","275,000","292,500","310,000","325,000","375,000","433,000"
E09000013,Hammersmith and Fulham,"119,950","135,000","157,500","189,950","220,000","245,000","265,000","277,500","300,000","324,000","350,000","415,000","435,000","420,000","455,000","465,000","490,000","560,000","661,000"
E09000014,Haringey,"71,850","81,000","91,500","110,000","130,750","150,000","180,000","192,000","213,600","225,000","239,000","268,000","255,000","250,000","290,000","302,000","315,000","337,000","405,000"
E09000015,Harrow,"82,500","94,100","107,950","124,000","147,000","165,000","197,475","230,000","245,000","249,000","250,000","280,000","275,000","250,000","292,000","294,500","300,000","325,000","370,000"
