Month,MajorText,MinorText,Borough,CrimeCount
201311,Violence Against The Person,Wounding/GBH,Barking and Dagenham,39
201311,Fraud & Forgery,Other Fraud & Forgery,Barking and Dagenham,1
201311,Theft & Handling,Motor Vehicle Interference & Tampering,Barking and Dagenham,11
201311,Drugs,Drug Trafficking,Barking and Dagenham,4
201311,Other Notifiable Offences,Going Equipped,Barking and Dagenham,3
201311,Violence Against The Person,Harassment,Barking and Dagenham,98
201311,Theft & Handling,Other Theft Person,Barking and Dagenham,33
201311,Theft & Handling,Handling Stolen Goods,Barking and Dagenham,3
201311,Theft & Handling,Theft From Shops,Barking and Dagenham,57
201311,Robbery,Personal Property,Barking and Dagenham,42
201311,Burglary,Burglary In A Dwelling,Barking and Dagenham,151
201311,Robbery,Business Property,Barking and Dagenham,1
201311,Theft & Handling,Other Theft,Barking and Dagenham,176
201311,Burglary,Burglary In Other Buildings,Barking and Dagenham,50
201311,Violence Against The Person,Common Assault,Barking and Dagenham,109
201311,Criminal Damage,Criminal Damage To Other Building,Barking and Dagenham,16
201311,Theft & Handling,Theft/Taking Of Pedal Cycle,Barking and Dagenham,24
201311,Violence Against The Person,Assault With Injury,Barking and Dagenham,89
201311,Theft & Handling,Theft From Motor Vehicle,Barking and Dagenham,134
201311,Sexual Offences,Rape,Barking and Dagenham,5
201311,Violence Against The Person,Offensive Weapon,Barking and Dagenham,7
201311,Drugs,Possession Of Drugs,Barking and Dagenham,97
201311,Criminal Damage,Criminal Damage To Dwelling,Barking and Dagenham,42
201311,Criminal Damage,Criminal Damage To Motor Vehicle,Barking and Dagenham,65
201311,Sexual Offences,Other Sexual,Barking and Dagenham,7
201311,Theft & Handling,Theft/Taking Of Motor Vehicle,Barking and Dagenham,77
201311,Criminal Damage,Other Criminal Damage,Barking and Dagenham,29
201311,Other Notifiable Offences,Other Notifiable,Barking and Dagenham,19
201311,Violence Against The Person,Other Violence,Barking and Dagenham,27
201311,Theft & Handling,Motor Vehicle Interference & Tampering,Barnet,24
201311,Violence Against The Person,Common Assault,Barnet,104
201311,Theft & Handling,Theft From Motor Vehicle,Barnet,260
201311,Violence Against The Person,Harassment,Barnet,135
201311,Robbery,Personal Property,Barnet,56
201311,Robbery,Business Property,Barnet,4
201311,Burglary,Burglary In A Dwelling,Barnet,312
201311,Theft & Handling,Other Theft,Barnet,310
201311,Burglary,Burglary In Other Buildings,Barnet,89
201311,Sexual Offences,Rape,Barnet,14
201311,Theft & Handling,Theft/Taking Of Motor Vehicle,Barnet,73
201311,Criminal Damage,Criminal Damage To Dwelling,Barnet,34
201311,Fraud & Forgery,Other Fraud & Forgery,Barnet,1
201311,Drugs,Other Drugs,Barnet,2
201311,Violence Against The Person,Wounding/GBH,Barnet,38
201311,Drugs,Drug Trafficking,Barnet,12
201311,Criminal Damage,Other Criminal Damage,Barnet,45
201311,Drugs,Possession Of Drugs,Barnet,95
201311,Violence Against The Person,Offensive Weapon,Barnet,6
201311,Sexual Offences,Other Sexual,Barnet,20
201311,Violence Against The Person,Other Violence,Barnet,18
201311,Criminal Damage,Criminal Damage To Motor Vehicle,Barnet,64
201311,Theft & Handling,Handling Stolen Goods,Barnet,8
201311,Violence Against The Person,Assault With Injury,Barnet,82
201311,Theft & Handling,Other Theft Person,Barnet,75
201311,Theft & Handling,Theft/Taking Of Pedal Cycle,Barnet,9
201311,Theft & Handling,Theft From Shops,Barnet,101
201311,Criminal Damage,Criminal Damage To Other Building,Barnet,20
201311,Other Notifiable Offences,Other Notifiable,Barnet,29
201311,Other Notifiable Offences,Going Equipped,Bexley,2
201311,Theft & Handling,Handling Stolen Goods,Bexley,2
201311,Theft & Handling,Other Theft Person,Bexley,14
201311,Violence Against The Person,Wounding/GBH,Bexley,29
201311,Violence Against The Person,Common Assault,Bexley,59
201311,Robbery,Business Property,Bexley,5
201311,Fraud & Forgery,Other Fraud & Forgery,Bexley,1
201311,Violence Against The Person,Harassment,Bexley,60
201311,Theft & Handling,Other Theft,Bexley,113
201311,Burglary,Burglary In A Dwelling,Bexley,132
201311,Criminal Damage,Criminal Damage To Dwelling,Bexley,29
201311,Violence Against The Person,Offensive Weapon,Bexley,5
201311,Sexual Offences,Rape,Bexley,7
201311,Burglary,Burglary In Other Buildings,Bexley,73
201311,Theft & Handling,Theft/Taking Of Motor Vehicle,Bexley,34
201311,Sexual Offences,Other Sexual,Bexley,13
201311,Drugs,Possession Of Drugs,Bexley,89
201311,Criminal Damage,Criminal Damage To Other Building,Bexley,11
201311,Violence Against The Person,Assault With Injury,Bexley,61
201311,Drugs,Drug Trafficking,Bexley,6
201311,Violence Against The Person,Other Violence,Bexley,16
201311,Theft & Handling,Motor Vehicle Interference & Tampering,Bexley,17
201311,Theft & Handling,Theft From Motor Vehicle,Bexley,100
201311,Theft & Handling,Theft/Taking Of Pedal Cycle,Bexley,5
201311,Criminal Damage,Criminal Damage To Motor Vehicle,Bexley,73
201311,Robbery,Personal Property,Bexley,22
201311,Theft & Handling,Theft From Shops,Bexley,65
201311,Criminal Damage,Other Criminal Damage,Bexley,24
201311,Other Notifiable Offences,Other Notifiable,Bexley,20
201311,Criminal Damage,Criminal Damage To Other Building,Brent,15
201311,Theft & Handling,Theft From Motor Vehicle,Brent,191
201311,Drugs,Drug Trafficking,Brent,22
201311,Violence Against The Person,Assault With Injury,Brent,141
201311,Theft & Handling,Motor Vehicle Interference & Tampering,Brent,8
201311,Criminal Damage,Other Criminal Damage,Brent,47
201311,Violence Against The Person,Other Violence,Brent,35
201311,Violence Against The Person,Common Assault,Brent,137
201311,Other Notifiable Offences,Other Notifiable,Brent,42
